ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
03N,small_airport,Utirik Airport,11.222,169.852005,4,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N
07FA,small_airport,Ocean Reef Club Airport,25.3253994,-80.27480316,8,NA,US,US-FL,Key Largo,no,07FA,OCA,07FA
0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,NA,US,US-AK,Pilot Station,yes,,PQS,0AK
0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980,NA,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2
0TE7,small_airport,LBJ Ranch Airport,30.25180054,-98.62249756,1515,NA,US,US-TX,Johnson City,no,0TE7,JCY,0TE7
13Z,seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,0,NA,US,US-AK,Loring,no,13Z,WLR,13Z
16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A
16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0,NA,US,US-AK,Port Alice,no,16K,PTC,16K
19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50,NA,US,US-AK,Icy Bay,no,19AK,ICY,19AK
19P,seaplane_base,Port Protection Seaplane Base,56.3288002,-133.6100006,0,NA,US,US-AK,Port Protection,yes,19P,PPV,19P
1KC,small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,NA,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC
1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258,NA,US,US-CA,Dunsmuir,no,KMHS,MHS,1O6
1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190,NA,US,US-TX,Beeville,no,,NIR,TX2
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,4100,NA,US,US-AZ,Littlefield,no,,GCT,1Z1
1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0,NA,US,US-AK,Ellamar,no,,ELW,1Z9
2AK,small_airport,Lime Village Airport,61.35910034,-155.4400024,552,NA,US,US-AK,Lime Village,no,2AK,LVD,2AK
2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534,NA,US,US-AK,Hogatza,no,2AK6,HGZ,2AK6
2IG4,small_airport,Ed-Air Airport,38.85139847,-87.49970245,426,NA,US,US-IN,Oaktown,no,I20,OTN,I20
